user_id,age,location,hobbies,linkage,characteristics,likes_pet_photos,clicks_john_share,clicks_discount_news,clicks_election_news,likes_music_videos,clicks_food_blog,shares_funny_memes,clicks_health_articles,past_campaign_success
001,55,Bergen,tech,150,analytical,7,4,3,21,23,17,5,18,sms_clicked
002,17,Oslo,biking,129,calm,19,0,17,6,22,20,34,13,email_opened
003,43,Stavanger,memes,91,sarcastic,10,8,4,6,30,10,6,2,sms_clicked
004,21,Bodø,"gaming, pets",32,impulsive,17,3,12,2,17,9,23,18,email_opened
005,19,Oslo,"biking, memes, pets",50,analytical,27,3,12,8,14,20,23,5,sms_clicked
006,37,Trondheim,"pets, tech, music",341,introvert,19,20,5,17,23,7,10,14,sms_clicked
007,32,Trondheim,"cooking, tiktok, memes",38,analytical,26,1,10,12,8,2,13,18,social_shared
008,35,Trondheim,"travel, reading, music",244,dreamer,8,4,7,23,17,17,16,23,social_shared
009,42,Drammen,"biking, hiking",270,impulsive,2,24,1,3,4,20,10,25,social_shared
010,42,Bergen,"reading, gaming",249,calm,8,17,0,21,23,3,34,24,sms_clicked
011,36,Bergen,"reading, hiking",242,extrovert,30,23,8,16,24,5,32,3,social_shared
012,34,Trondheim,cooking,400,dreamer,17,24,16,0,19,10,31,0,email_opened
013,38,Stavanger,singing,133,introvert,2,23,15,2,24,17,8,4,social_shared
014,45,Tromsø,"fashion, tiktok",320,sarcastic,30,6,17,24,23,6,19,12,social_shared
015,38,Kristiansand,"travel, dancing, biking",125,introvert,10,0,18,17,7,18,14,0,email_opened
016,55,Oslo,dancing,26,warm,2,16,7,8,21,15,13,17,email_opened
017,51,Kristiansand,memes,252,sarcastic,6,3,3,21,13,11,27,13,sms_clicked
018,18,Bergen,reading,382,warm,25,3,7,6,6,17,28,4,sms_clicked
019,26,Stavanger,"biking, tiktok",48,impulsive,25,17,3,1,20,17,0,2,email_opened
020,25,Drammen,"travel, biking",215,extrovert,5,12,0,12,8,14,18,13,social_shared
021,50,Kristiansand,biking,161,analytical,30,1,18,23,17,1,20,1,email_opened
022,52,Kristiansand,"gardening, tiktok, fashion",90,extrovert,30,16,2,5,2,19,4,21,email_opened
023,40,Bergen,"biking, gaming, tiktok",30,introvert,13,21,18,18,16,10,16,6,social_shared
024,35,Trondheim,"reading, hiking",353,fun,14,10,2,0,14,19,6,2,social_shared
025,28,Stavanger,gardening,188,introvert,28,7,11,9,5,14,34,22,sms_clicked
026,54,Oslo,"tiktok, fashion, pets",349,introvert,30,4,8,3,28,3,35,4,sms_clicked
027,33,Trondheim,"cooking, biking, music",334,fun,16,15,8,1,2,20,27,8,email_opened
